event_time,user_id,event_type,transaction_category,miles_amount,platform,utm_source,country
5/4/2025,u_0081,miles_earned,dining,516,web,organic,TH
3/10/2025,u_0015,miles_earned,ecommerce,92,web,organic,SG
4/1/2025,u_0027,miles_earned,dining,493,android,tiktok,SG
3/27/2025,u_0037,share,,,android,google,TH
5/13/2025,u_0038,miles_earned,dining,599,ios,tiktok,TH
5/7/2025,u_0049,miles_redeemed,flight,1836,web,referral,MY
5/27/2025,u_0040,share,,,web,tiktok,MY
3/15/2025,u_0048,miles_earned,ecommerce,114,web,facebook,SG
4/14/2025,u_0010,miles_redeemed,flight,2249,ios,tiktok,MY
3/10/2025,u_0026,miles_earned,ecommerce,107,android,tiktok,MY
3/27/2025,u_0051,miles_earned,shopping,1194,ios,facebook,SG
4/22/2025,u_0017,miles_earned,shopping,997,ios,google,PH
3/10/2025,u_0092,reward_search,shopee,,web,referral,ID
3/25/2025,u_0094,miles_redeemed,hotel,901,web,organic,ID
5/5/2025,u_0082,share,,,android,tiktok,SG
4/25/2025,u_0017,reward_search,lululemon,,android,google,PH
3/27/2025,u_0075,reward_search,apple,,ios,organic,MY
4/29/2025,u_0023,miles_earned,ecommerce,87,web,google,TH
5/19/2025,u_0056,miles_earned,shopping,1139,web,facebook,PH
3/8/2025,u_0099,miles_earned,shopping,1034,ios,facebook,SG
5/19/2025,u_0032,miles_earned,ecommerce,84,web,google,SG
5/9/2025,u_0060,miles_earned,dining,453,android,organic,PH
4/7/2025,u_0067,miles_earned,shopping,1123,web,referral,MY
3/21/2025,u_0018,reward_search,lululemon,,ios,google,PH
6/2/2025,u_0009,miles_redeemed,flight,1819,web,google,TH
4/7/2025,u_0065,miles_earned,ecommerce,89,ios,google,PH
3/16/2025,u_0074,miles_redeemed,flight,2223,web,google,MY
3/16/2025,u_0079,reward_search,apple,,android,referral,SG
5/23/2025,u_0031,miles_earned,ecommerce,108,android,facebook,PH
5/1/2025,u_0011,miles_earned,ecommerce,104,android,referral,PH
5/19/2025,u_0043,miles_earned,ecommerce,92,ios,referral,ID
5/12/2025,u_0004,miles_earned,shopping,1099,web,facebook,SG
4/25/2025,u_0030,miles_earned,ecommerce,85,web,facebook,SG
6/3/2025,u_0013,miles_earned,ecommerce,111,ios,organic,PH
4/10/2025,u_0037,share,,,web,google,TH
4/26/2025,u_0067,miles_earned,ecommerce,81,ios,referral,MY
5/21/2025,u_0061,miles_earned,dining,513,ios,referral,PH
5/2/2025,u_0030,reward_search,apple,,ios,facebook,SG
5/24/2025,u_0023,reward_search,shopee,,ios,google,TH
4/28/2025,u_0036,miles_redeemed,hotel,1013,android,google,SG
5/10/2025,u_0076,miles_earned,ecommerce,112,ios,organic,TH
3/11/2025,u_0016,miles_earned,dining,570,ios,referral,ID
3/28/2025,u_0021,miles_earned,ecommerce,119,android,facebook,PH
4/2/2025,u_0051,miles_earned,dining,589,web,facebook,SG
3/15/2025,u_0004,miles_earned,ecommerce,83,android,facebook,SG
3/28/2025,u_0050,miles_earned,ecommerce,93,android,tiktok,SG
3/16/2025,u_0058,miles_earned,shopping,1097,android,google,SG
4/1/2025,u_0032,miles_redeemed,flight,2287,android,google,SG
5/4/2025,u_0028,reward_search,shopee,,android,referral,SG
4/9/2025,u_0048,miles_redeemed,flight,1795,android,facebook,SG
4/10/2025,u_0077,reward_search,shopee,,ios,facebook,SG
3/26/2025,u_0006,miles_earned,dining,502,web,organic,MY
3/31/2025,u_0036,miles_earned,ecommerce,115,ios,google,SG
5/31/2025,u_0046,miles_earned,ecommerce,110,web,google,SG
5/5/2025,u_0006,miles_earned,ecommerce,113,web,organic,MY
5/1/2025,u_0004,miles_earned,shopping,1055,web,facebook,SG
3/23/2025,u_0035,reward_search,lululemon,,web,organic,SG
5/12/2025,u_0049,miles_earned,ecommerce,107,android,referral,MY
3/22/2025,u_0068,share,,,web,organic,TH
4/11/2025,u_0046,miles_earned,ecommerce,115,web,google,SG
6/4/2025,u_0067,reward_search,apple,,android,referral,MY
5/4/2025,u_0000,miles_earned,ecommerce,84,web,facebook,MY
4/26/2025,u_0012,miles_earned,ecommerce,109,ios,facebook,PH
5/8/2025,u_0098,reward_search,lululemon,,ios,facebook,MY
5/22/2025,u_0008,miles_earned,shopping,906,android,google,SG
5/16/2025,u_0097,miles_earned,ecommerce,99,web,tiktok,MY
3/28/2025,u_0047,miles_earned,dining,451,web,organic,TH
3/10/2025,u_0004,share,,,ios,facebook,SG
4/5/2025,u_0085,reward_search,apple,,ios,facebook,ID
3/31/2025,u_0017,miles_earned,shopping,808,ios,google,PH
3/26/2025,u_0005,miles_redeemed,hotel,1051,android,tiktok,ID
5/31/2025,u_0051,miles_earned,shopping,881,web,facebook,SG
5/25/2025,u_0041,reward_search,shopee,,android,google,MY
4/5/2025,u_0082,miles_redeemed,flight,1638,web,tiktok,SG
5/5/2025,u_0016,miles_earned,shopping,1068,web,referral,ID
4/12/2025,u_0087,miles_earned,ecommerce,93,ios,organic,SG
5/29/2025,u_0073,miles_earned,dining,497,ios,facebook,ID
4/18/2025,u_0014,miles_redeemed,flight,2123,web,tiktok,ID
3/31/2025,u_0018,miles_earned,shopping,878,web,google,PH
3/30/2025,u_0053,miles_earned,ecommerce,108,android,tiktok,TH
4/27/2025,u_0071,like,,,web,facebook,TH
3/31/2025,u_0071,miles_earned,shopping,1075,android,facebook,TH
4/29/2025,u_0035,miles_earned,dining,528,web,organic,SG
5/27/2025,u_0036,miles_redeemed,flight,1805,android,google,SG
4/12/2025,u_0063,miles_redeemed,flight,1615,web,organic,MY
3/27/2025,u_0062,miles_earned,ecommerce,102,android,facebook,MY
6/5/2025,u_0024,miles_earned,shopping,1081,ios,facebook,MY
4/22/2025,u_0051,miles_earned,shopping,981,ios,facebook,SG
3/16/2025,u_0023,miles_earned,ecommerce,93,ios,google,TH
